,Country,ISO3,region_remastered,region_bigger,Number_of_parks,GIS_AREA,Land_area,Number_of_posts,post_density_national_total,post_density_national_land,post_density_total_max,post_density_total_min,post_density_total_mean,post_density_total_median,post_density_total_var
60,Latvia,LVA,Europe,Europe,4,2035.329127150749,2033.2309999999998,5721,2.8108476038019514,2.8137481673257985,0.15015448322308558,0.15015448322308558,0.15015448322308558,0.15015448322308558,
61,Lesotho,LSO,Sub-Saharan Africa,Africa,2,6415.994580047871,6415.994,396,0.06172075039331554,0.06172075597327554,60.65704932935319,0.7423905877851121,30.69971995856915,30.69971995856915,1794.88316605928
62,Liberia,LBR,Sub-Saharan Africa,Africa,1,239.75308114187,233.606,36,0.15015448322308558,0.15410563084852272,14.923383341583197,0.0028953055617469193,2.1509627998206495,0.30836217777454367,14.99358497166192
63,Madagascar,MDG,Sub-Saharan Africa,Africa,21,15127.984263873614,14932.594000000001,5053,0.3340167408864126,0.33838728890640163,0.06176881525481313,0.057347550097253626,0.059558182676033376,0.059558182676033376,9.773792796724819e-06
64,Malawi,MWI,Sub-Saharan Africa,Africa,5,7003.752020894008,7003.7519999999995,629,0.08980900496241585,0.0898090052303394,5.005559171504654,0.2052439904889137,2.2615795319223633,1.9177574828479433,3.999035542712226
65,Malaysia,MYS,South-eastern Asia,Asia,15,7192.583516690933,6966.919999999999,3904,0.5427813234202249,0.5603623983051335,2.1763695175301976,0.0487574221497142,0.4290720141139574,0.23219961158312968,0.40023488825280906
66,Malta,MLT,Europe,Europe,1,2.50145634240024,2.493,370,147.91383472436354,148.41556357801846,58.172768716170694,0.0014502513352364057,3.496852057725669,0.24129618954701373,157.6293768374926
67,Mauritania,MRT,Sub-Saharan Africa,Africa,1,11925.7396340239,5465.679,85,0.007127440528510004,0.015551590204986424,1431.5894368396007,0.0013034564950059225,71.7150454725612,4.578993988214037,44002.38788550182
68,Mauritius,MUS,Sub-Saharan Africa,Africa,2,61.4011291350714,59.985,550,8.957489996480346,9.168958906393264,3.9469341036170844,0.35507710620866595,2.151005604912875,2.151005604912875,6.450718344915909
69,Mexico,MEX,Latin America and the Caribbean,Latin America and the Caribbean,67,162968.73515954104,6871.670999999999,33421,0.20507614523289966,4.863591403022642,147.91383472436354,147.91383472436354,147.91383472436354,147.91383472436354,
70,Morocco,MAR,Northern Africa,Africa,10,7667.394093011473,7271.493,2426,0.3164047615879303,0.33363162145655645,0.11282118351819599,0.0003289352951132572,0.03094009716661118,0.011908157822078115,0.002172939974345644
71,Mozambique,MOZ,Sub-Saharan Africa,Africa,5,29830.32671948708,28366.506,499,0.016727942831213486,0.01759116896525783,0.007127440528510004,0.007127440528510004,0.007127440528510004,0.007127440528510004,
72,Namibia,NAM,Sub-Saharan Africa,Africa,17,133781.32412864227,133575.73200000002,23819,0.17804428349876383,0.17831831907909737,9.381382561140601,4.076426575031954,6.728904568086278,6.728904568086278,14.071279007274983
73,Nepal,NPL,Southern Asia,Asia,9,10707.656098332991,10707.655999999999,16944,1.5824191442455746,1.5824191587776075,0.9778826384740644,0.003368681401054557,0.2589618028237428,0.02986920567740823,0.17398085987152617
74,Netherlands,NLD,Europe,Europe,21,1696.3013932875403,1118.452,31570,18.611079449044915,28.226513073426485,54.10025303603429,0.005207151513998306,7.111545388788186,0.07189363654712795,295.3554889737873
75,New Caledonia,NCL,Oceania,Oceania,8,10912.940128901295,3377.7670000000003,3825,0.3505013273068417,1.1324049290552012,88.13724899079688,0.004234901567217082,9.21223853659969,0.22996000542422484,639.6734765201024
76,New Zealand,NZL,Australia and New Zealand,Australia and New Zealand,13,29031.324897435858,28833.569,50297,1.732507909221959,1.744390366659084,491.8552784866786,0.12207535735417623,80.178263429423,0.5994814080005466,30259.556899790437
77,Nicaragua,NIC,Latin America and the Caribbean,Latin America and the Caribbean,1,55.0640446111152,55.064,538,9.770441016448682,9.770448932151679,0.0013482180114153292,0.0013482180114153292,0.0013482180114153292,0.0013482180114153292,
78,Niger,NER,Sub-Saharan Africa,Africa,1,2225.15941383298,2225.159,3,0.0013482180114153292,0.001348218262155648,0.0009039791254608125,0.0009039791254608125,0.0009039791254608125,0.0009039791254608125,
79,Nigeria,NGA,Sub-Saharan Africa,Africa,1,3318.66070300099,3318.661,3,0.0009039791254608125,0.0009039790445604417,9.770441016448682,9.770441016448682,9.770441016448682,9.770441016448682,
80,North Macedonia,MKD,Europe,Europe,2,415.527156180005,415.52700000000004,1023,2.4619329562105436,2.461933881552823,110.16463054104827,5.728780462774595,24.826998866275392,13.307017742258639,802.5237158219109
81,Norway,NOR,Europe,Europe,38,30679.40124171935,29250.210999999996,5211,0.1698533800885862,0.17815256101913252,4.7312557052963635,0.004989058123871985,0.3290558974391198,0.06735697868887458,0.6394761337202497
82,Pakistan,PAK,Southern Asia,Asia,7,9056.31721050365,8847.556,1048,0.11572032821294224,0.1184507902521329,9.954065897348277,0.009335750683831488,1.807029990078334,0.8541767122512506,9.867907745358202
83,Panama,PAN,Latin America and the Caribbean,Latin America and the Caribbean,10,11150.836197940067,9100.936999999998,2582,0.2315521413969817,0.2837070512629634,10.893645072412259,0.12618905396345229,3.983636904973525,1.7118331671376554,16.417269997890262
84,Papua New Guinea,PNG,Oceania,Oceania,2,18.491709175574528,18.492,17,0.9193309195266326,0.9193164611723988,0.2918249658064591,0.0011939560732469475,0.10742984185531515,0.0544852186929465,0.01649700086751414
85,Paraguay,PRY,Latin America and the Caribbean,Latin America and the Caribbean,3,114.79512096913103,114.79499999999999,46,0.40071389455976636,0.40071431682564573,5.829715560808434,0.013119516774218708,1.1650297074817204,0.4788577562773752,3.3176089295146842
